"bin1","bin2","bin3","bin4","bin5","bin6","bin7","bin8","bin9","bin10","class"
0,16,7,3,6,2,2,7,56,502,"acantharia_protist"
0,0,4,21,8,8,23,44,128,1185,"acantharia_protist"
0,0,8,8,5,8,5,17,54,591,"acantharia_protist"
0,0,1,4,1,1,3,13,53,419,"acantharia_protist"
0,1,23,12,3,7,3,16,110,831,"acantharia_protist"
0,0,0,2,4,2,4,4,10,204,"acantharia_protist"
0,0,9,12,18,17,20,21,36,857,"acantharia_protist"
0,0,9,10,6,7,9,7,24,427,"acantharia_protist"
0,12,8,13,6,5,4,10,34,684,"acantharia_protist"
0,10,17,10,7,7,12,39,90,764,"acantharia_protist"
0,0,8,5,10,11,19,65,116,1075,"acantharia_protist"
0,0,2,0,2,4,3,10,50,468,"acantharia_protist"
0,7,15,11,8,8,8,24,96,859,"acantharia_protist"
0,0,0,1,4,5,12,15,75,733,"acantharia_protist"
2,50,29,17,14,9,29,63,250,2155,"acantharia_protist"
0,1,10,6,8,11,9,16,46,621,"acantharia_protist"
0,0,19,13,15,8,17,17,37,713,"acantharia_protist"
0,20,27,34,26,35,12,33,233,1962,"acantharia_protist"
0,12,8,4,4,4,2,9,25,486,"acantharia_protist"
0,0,0,16,10,8,10,11,28,446,"acantharia_protist"
0,1,6,4,4,5,1,10,40,548,"acantharia_protist"
0,0,13,8,8,2,14,12,64,878,"acantharia_protist"
0,10,9,9,5,4,4,6,9,205,"acantharia_protist"
0,0,5,5,11,7,10,24,77,650,"acantharia_protist"
0,0,11,9,4,3,4,31,87,716,"acantharia_protist"
0,9,29,9,9,8,9,37,103,1088,"acantharia_protist"
0,10,9,9,9,10,10,32,69,519,"acantharia_protist"
0,1,7,8,7,5,5,17,69,772,"acantharia_protist"
0,0,0,3,0,1,1,2,16,429,"acantharia_protist"
0,2,46,20,5,14,22,27,122,1126,"acantharia_protist"
0,0,8,12,7,14,6,39,62,706,"acantharia_protist"
0,0,2,11,14,33,14,18,20,746,"acantharia_protist"
0,3,12,11,8,9,6,8,47,602,"acantharia_protist"
0,0,8,22,23,40,20,35,56,961,"acantharia_protist"
0,5,5,7,8,12,14,29,40,310,"acantharia_protist"
0,0,6,7,8,3,8,8,38,617,"acantharia_protist"
0,27,17,9,7,7,10,8,48,1008,"acantharia_protist"
0,10,10,9,8,9,13,52,101,1069,"acantharia_protist"
0,0,3,3,3,6,3,8,24,403,"acantharia_protist"
0,37,11,8,9,11,19,17,102,833,"acantharia_protist"
0,1,27,26,23,13,21,20,61,873,"acantharia_protist"
0,4,10,7,4,15,15,41,90,974,"acantharia_protist"
0,20,13,5,8,2,6,17,104,1259,"acantharia_protist"
0,3,16,22,19,11,8,20,33,543,"acantharia_protist"
